iteration,residual
0,228.53067627782488
1,90.44949806383671
2,35.87704173980905
3,14.247596386408471
4,5.662437972958286
5,2.251688001769321
6,0.8957748605832736
7,0.3564821032062599
8,0.14190520492404154
9,0.05650166088518548
10,0.022501508202732022
11,0.008962682915851877
12,0.0035705178776622506
13,0.0014226028386850255
14,0.0005668774898556396
15,0.00022591373843325668
16,0.0000900408446174836
17,0.000035890226180556825
18,0.000014307023454970456
19,0.000005703691180764261
20,0.0000022740177153176362
21,0.0000009066937424505937
22,0.0000003615383529587996
23,0.00000014416949040807324
24,0.0000000574931192637655
25,0.00000002292876755355178
26,0.000000009144640829581037
27,0.0000000036473039985487067
28,0.0000000014547778989248376
29,0.0000000005802890929075646
30,0.00000000023147205850208334
31,0.00000000009234320229434359
32,0.00000000003682932356094152
33,0.000000000014729360257598983
34,0.0000000000058638218145367725
35,0.0000000000023381367012300423
